t,h,label,relatedness_score,sentence_h_en,sentence_t_en
الرجال يضعون حقائب في صندوق سيارة,الرجال يضعون حقائب في صندوق سيارة,1,4.9,The men are putting suitcases into the trunk of a car,The men are placing suitcases in the trunk of a car
شخص لا يلعب لوحة المفاتيح,شخص ما يعزف على البيانو,0,3.0,Someone is playing piano,A person is not playing a keyboard
نمر يتجول بلا هدف,نمر يتجول بلا هدف,1,3.965,A tiger is walking around with no aim,A tiger is walking around aimlessly
عائلة تشتري شيئًا من آلة البيع,عائلة لا تشتري شيئًا من آلة البيع,2,3.8,A family is not purchasing something at a vending machine,A family is purchasing something at the vending machine
رجل وصبي يركبان زورق الكاياك الأصفر,لا يوجد رجل وطفل يتجول في المياه الهادئة,0,3.9,There is no man and child kayaking through gentle waters,A man and a young boy are riding in a yellow kayak
 رجل قطع السمك,يتم قطع سمكة من قبل رجل,1,4.9,A fish is being cut by a man,A man is cutting a fish
بعض الفتيات في سن المراهقة ترقص للكاميرا,بعض الفتيات في سن المراهقة والرقص للكاميرا,1,4.6,Some teenage girls are dancing for the camera,Some girls in their teens are dancing for the camera
امرأة كسرت البيض في وعاء,المرأة كسرت اثنين من البيض في وعاء مصنوع من الزجاج,1,4.5,The woman is cracking two eggs into a bowl made of glass,A woman is cracking an egg into a bowl
رجل يركب دراجة نارية في الفعاليات المرتبطة موتوكروس,شخص يركب دراجة نارية على المسار الرملي,0,3.6,The person is riding a motorbike on a sandy track,A man is riding a motorbike in the event related to motocross
لا يوجد رجل يلائم مسدس كاتم للصوت,رجل يركب كاتم صوت في مسدس,2,3.4,A man is fitting a silencer to a pistol,There is no man fitting a silencer to a pistol
رجل يضع بعض الطعام في صندوق,الرجل لا يضع الدجاج في الحاوية,0,3.7,The man is not putting chicken into the container,A man is putting some food in a box
وقالت امرأة تعزف على الفلوت ,امرأة تضع  الناي بعيدا,0,3.7,The woman is putting away a flute,A woman is playing flute
رجل يقود دراجة نارية,حصان يقوده رجل,0,1.8,The horse is being ridden by a man,A man is driving a motorbike
