label,t,h
0,الطيران الحربي اليمني يشن غارات جوية على مناطق قبلية خارج العاصمة اليمنية صنعا في الوقت الذي أعلن زعيم قبيلة حاشد الشيخ صادق الأحمر عن وقف إطلاق نار بين أنصار ه و القوات الموالية ل لرئيس علي عبدالله صالح في صنعا ,اليمن  مظاهرات سلمية و الطيران الحربي يقصف مناطق قبلية 
1,المنتخب المغربي يفوز على نظير ه الجزائري ب رباعية نظيفة و يتصدر المجموعة الرابعة في التصفيات المؤهلة ل كأس الامم الافريقية ل كرة القدم 2012 ,تصفيات أمم افريقيا  رباعية مغربية في شباك الجزائر 
0,نددت الأمم المتحدة ب اعتقال موظفي ها شمال السودان العاملين ضمن مهمة الأمم المتحدة في السودان و دعت إلى إطلاق سراح هم ,الأمم المتحدة تطالب ب الاطلاق الفوري ل سراح 6 من موظفي ها في السودان 
0,توتر امني يسود صنعا يترافق مع حالة الترقب التي تعيش ها اطراف الصراع في اليمن بعد رفض عبدربه منصور هادي الحديث الى المعارضة المطالبة ب تخلي الرئيس علي عبد الله صالح فورا عن السلطة ,اليمن  توتر في صنعا و المعارضة تتهم نائب الرئيس ب رفض الحوار مع ها 
1,المرشح الكازاخي ل رئاسة صندوق النقد الدولي يتخلى عن ترشيح ه ل يقتصر السباق على الوظيفة على وزيرة المالية الفرنسية كريستين ل اغارد و محافظ البنك المركزي المكسيكي اغوستين كارستنز ,حصر السباق على رئاسة صندوق النقد بين لاغارد و كارستنز 
0,فيما طغى الشأن المحلي على تغطيات الصحف البريطانية ل يوم الخميس  ف إن أحداث الشرق الأوسط لم تغب كلية  و حظيت كل من ليبيا  و سورية تغطية كبيرة  و في الشأن السوري احتل موضوع تزايد اللاجئين من جسر الشغور  حيزا كبيرا ,الصحافة البريطانية  تعرف إلى ماهر الأسد  و غيتس ينتقد أعضا في الناتو 
1,مجلس الامن يناقش مشروع قرار تقدمت ب ه كل من بريطانيا و فرنسا يدين النظام السوري على قمع المتظاهرين المطالبين ب الاصلاح ,مجلس الامن يدرس قرارا يدين القمع في سورية 
1,رئيس الوزرا التركي رجب طيب أردوغان يقول إن ه يأمل في أن تعزز نتائج الانتخابات التشريعية التي تشهد ها بلاد ه اليوم السلام و الحقوق الأساسية في تركيا ,اردوغان  آمل ان تعزز نتائج الانتخابات التشريعية السلام و الحقوق الأساسية في تركيا 
1,اعتذر موقع ف يسبو ك عن الطريقة التي دشنت ب ها الخدمة الجديدة ل توزيع الصور و التي تميز المستخدمين من خلال صور هم ,ف يسبو ك يعتذر عن ما سببت ه الخدمة الجديدة ل توزيع الصور 
1,طائرة امريكية ب دون طيار استهدفت القيادي في القاعدة الياس كشميري و مجموعت ه غربي باكستان ف قتلت ه مع خمسة اشخاص ,باكستان  غارة أمريكية تقتل قياديا في القاعدة 
1,يأمل منظمو ملتقى دولي يعقد في العاصمة البريطانية لندن الاثنين جمع 37 مليار دولار ب حلول عام 2015 ل توفير اللقاحات اللازمة ل مكافحة الالتهاب الرئوي و الاسهال لدى الأطفال ,مؤتمر دولي في لندن يسعى ل توفير 37 مليار دولار ل دعم ل قاحات الاطفال 
